name,type,url,ModellingCenter,Project,Experiment,GCM,RCM,Run,SoftwareVersion,SimulationDomain,DatasetSubclass
JRA55,reanalysis,http://meteo.unican.es/tds5/dodsC/jra55/JRA55_Dataset.ncml,JMA,,,,,,,Global,Reanalysis
ECMWF_ERA-Interim-ESD,reanalysis,http://meteo.unican.es/tds5/dodsC/interim/interim20.ncml,ECMWF,,,,,,,Global,Reanalysis
WATCH_WFDEI,observation,http://meteo.unican.es/tds5/dodsC/wfdei/wfdei_daily.ncml,,WATCH,,,,,,,ObservationalDataset
PIK_Obs-EWEMBI,observation,http://meteo.unican.es/tds5/dodsC/interim/daily/interim20_daily.ncml,PIK,ISIMIP,,,,,,,ObservationalDataset
E-OBS_v14_0.50regular,observation,http://meteo.unican.es/tds5/dodsC/eobs/e-obs_v14_0.50regular.ncml,KNMI,ECA,,,,,,,ObservationalDataset
E-OBS_v14_0.44rotated,observation,http://meteo.unican.es/tds5/dodsC/eobs/e-obs_v14_0.44rotated.ncml,KNMI,ECA,,,,,,,ObservationalDataset
E-OBS_v14_0.25regular,observation,http://meteo.unican.es/tds5/dodsC/eobs/e-obs_v14_0.25regular.ncml,KNMI,ECA,,,,,,,ObservationalDataset
E-OBS_v14_0.22rotated,observation,http://meteo.unican.es/tds5/dodsC/eobs/e-obs_v14_0.22rotated.ncml,KNMI,ECA,,,,,,,ObservationalDataset
UC-Spain02_11,observation,http://meteo.unican.es/tds5/dodsC/Spain02/Spain011_aa_3d.ncml,SMG,CORDEX,,,,,,,ObservationalDataset
UC-Spain02_22,observation,http://meteo.unican.es/tds5/dodsC/Spain02/Spain022_aa_3d.ncml,SMG,CORDEX,,,,,,,ObservationalDataset
UC-Spain02_44,observation,http://meteo.unican.es/tds5/dodsC/Spain02/Spain044_aa_3d.ncml,SMG,CORDEX,,,,,,,ObservationalDataset
CMIP5_CCCMA-CANESM2_historical,projection,http://meteo.unican.es/tds5/dodsC/cmip5/CCCMA/CANESM2/historical/day/cccma_canesm2_historical_r1i1p1.ncml,CCCMA,CMIP5,Historical,CANESM2,,,,Global,MultiDecadalSimulation
